Bos, M. J. W.
Bosch, Peter
Boschee, Elizabeth
Bosco, Cristina
Bosma, Wauter
Bossaert, Walter
Boster, Carole T.
Botley, Simon
Bott, Stefan
Bottcher, Martin
Bottner, Michael
Bouaud, Jacques
Bouayad-Agha, Nadjet
ERROR
Bouchard, Lorne H.
ERROR
Bouche, Olivier
Boufaden, Narjes
Bouffier, Amanda
Bouillon, Pierrette
ERROR
Boulianne, Gilles
Boulis, Constantinos
Boullier, Pierre
Bouma, Gosse
Bourbeau, Laurent
Bourdon, Marie
Bourgeois, Thomas C.
Bourguignon, C.
Bourigault, Didier
Bouzid, Ahmed
Boven, B.
Boves, Louis
ERROR
Bowden, Tanya
Bowker, Lynne
Boyd, Adriane
Boyd-Graber, Jordan
Boye, Johan
Boykin, Stanley
Boyle-Hinrichs, Marie
Boytcheva, Svetla
Bozsahin, H. Cem
Brachman, Ronald J.
Braden-Harder, Lisa C.
Bradford, James
Brady, Deborah
Brajnov, Svjatoslav
Bramsen, Philip
ERROR
Branco Ribeiro, Gabriela Castelo
ERROR
Brandle, Stefan
Brandow, Ronald
Brandt-Pook, Hans
Brandyberry, David
Branigan, Holly
Branting, L. Karl
Brants, Thorsten
Bras, Myriam
Bratt, Elizabeth Owen
Bratt, Harry
Bratus, Sergey
Braun, Christian
Braun, Gunter
Braun, Stephan
Bray, Patrick
Brecht, Werner
Breck, Eric
Bredenkamp, Andrew
Bree, D. S.
Breen, Jim
Breidt, Elisabeth
Bremer, John
Brenier, Jason M.
Brennan, Susan E.
Brent, Michael R.
Bresnan, Joan
Bretan, Ivan
Brew, Chris
Brewster, Christopher
Briabrin, Victor
Bridle, John
Brietzmann, Astrid
Briffault, Xavier
Brill, David
Brill, Eric
Brinckmann, Caren
ERROR
Brinkmann, Karl-Heinz
Briscoe, Ted
Bristot, Antonella
Broadhead, Matthew
Brockett, Chris
Brockhaus, Wiebke
Brockmann, Carsten
Brodda, Benny
Brodersen, R.
Brody, Samuel
Broeder, Daan
ERROR
Broglio, John
Broker, Norbert
Bromberg, Ilana
Bronisz, Didier
Bronnenberg, W. J.
Brooks, David J.
Brooks, James
Bross, Irwin D. J.
Brown, Allen
Brown, Brianne
Brown, Dunstan
Brown, Gretchen P.
Brown, Jonathan
Brown, Keith
Brown, Michael K.
Brown, Peter F.
Brown, Ralf D.
Brown, Susan Windisch
Bruandet, M. F.
Bruce, Bertram C.
Bruce, Rebecca F.
Brugman, Claudia
Brugman, Hennie
Brun, Caroline
Bruneseaux, F.
Brunet-Manquat, Francis
Brunner, Hans
Brunson, Barbara A.
Bryant, Barrett R.
Bryant, John
Bryant, Michael
Brzoska, Christoph
Bu, Jiajun
Buch-Kromann, Matthias
Buchberger, Ernst
Buchholz, Sabine
Buchmann, Beat
Buchsbaum, Adam L.
Buckeridge, Alan M.
Buckland, Michael
Buckley, Chris
Buckwalter, Tim
ERROR
Buitelaar, Paul
Bujas, Zeljko
Bukatin, Michael
Bukowski, Jedrzej
Bulatov, Vladimir
ERROR
Bulyko, Ivan
Bundy, Alan
Bunescu, Razvan C.
Bunker, Ross T.
ERROR
Bunt, Harry C.
Bunting, Karl Dieter
Buntrock, James
Buo, Finn Dag
ERROR
Burchardt, Aljoscha
Burden, Hakan
Burek, Gaston G.
Burge, John
Burger, John D.
Burger, John F.
Burger, Susanne
Burges, Christopher
Burgun, Anita
Burke, Carl
Burke, Michael
Burkert, Gerrit
Burnett, Daniel C.
Burns, Gully
Burns, Ron
Burridge, Robert R.
Burstein, Jill
Burstein, Mark H.
